FlowPattern,OccurrenceCount
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3 -> 17-5,15
2-2 -> 3-5 -> 2-2 -> 2-3 -> 11-2 -> 11-3 -> 17-5,7
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 3-5 -> 4-3 -> 10-2,1
2-2 -> 2-3 -> 15-2,6
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3 -> 17-5,348
2-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5,80378
2-2 -> 2-3 -> 19-2 -> 19-3 -> 6-4 -> 6-2,2
2-2 -> 2-3 -> 22-2 -> 22-3 -> 17-5 -> 3-5 -> 17-5 -> 3-5,3
2-2 -> 3-5 -> 2-2 -> 2-3,1
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 9-2 -> 9-3,3
2-2 -> 3-5 -> 2-2,1
2-2 -> 2-3 -> 15-2 -> 2-3,17
2-2 -> 2-3 -> 15-2 -> 2-3 -> 15-2 -> 2-3 -> 7-4,1
2-2 -> 2-3 -> 15-2 -> 2-3 -> 15-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 10-2 -> 10-3 -> 17-5,1
2-2 -> 2-3 -> 2-3 -> 7-4,1
2-2 -> 2-3 -> 15-2 -> 2-3 -> 19-2 -> 3-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 24-2 -> 24-3 -> 17-5,1
2-2 -> 2-3 -> 2-3 -> 11-2 -> 11-3 -> 17-5,16
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3 -> 17-5 -> 3-5,1
2-2 -> 2-3 -> 3-5 -> 2-3 -> 3-5,1
2-2 -> 2-3 -> 19-2 -> 3-5,6
2-2 -> 2-3 -> 9-2 -> 9-3,29
2-2 -> 2-3 -> 9-2 -> 9-3 -> 6-4,1
2-2 -> 2-3 -> 10-2 -> 10-3 -> 3-5 -> 10-3 -> 17-5,1
2-2 -> 2-3 -> 11-2 -> 11-3 -> 6-4 -> 6-2,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3,24
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 23-2 -> 23-3 -> 21-4 -> 21-2 -> 21-3 -> 23-2 -> 23-3 -> 18-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 24-2 -> 24-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3 -> 17-5,11
2-2 -> 3-5,264
2-2 -> 2-3 -> 15-2 -> 2-3 -> 15-2 -> 2-3 -> 15-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5,2
2-2 -> 2-3 -> 11-2 -> 11-3 -> 17-5,24019
2-2 -> 2-3 -> 19-2 -> 19-3 -> 15-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5,1
2-2 -> 2-3 -> 24-2 -> 24-3 -> 18-5,7
2-2 -> 2-3 -> 15-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3,2
2-2 -> 2-2 -> 3-5,1
2-2 -> 2-3 -> 24-2 -> 24-3 -> 21-4 -> 21-2 -> 21-3 -> 23-2 -> 23-3 -> 18-5,2
2-2 -> 2-3 -> 10-2 -> 10-3 -> 3-5 -> 3-5 -> 10-3,3
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 3-5,2
2-2 -> 2-3 -> 15-2 -> 2-3 -> 5-4,1
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3,5
2-2 -> 2-3 -> 11-2 -> 11-3 -> 17-5 -> 3-5,186
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 4-4 -> 4-2 -> 4-3 -> 4-4,1
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 11-2 -> 11-3 -> 17-5,573
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2,5
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 4-4,12
2-2 -> 2-3 -> 9-2 -> 9-3 -> 6-4 -> 6-2 -> 6-3 -> 18-5,2
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 7-4,87
2-2 -> 2-3 -> 5-4 -> 3-5,36
2-2 -> 2-3 -> 22-2 -> 22-3 -> 17-5 -> 3-5 -> 17-5,81
2-2 -> 2-3 -> 22-2 -> 22-3 -> 22-2 -> 22-3 -> 17-5 -> 3-5,2
